iter	Logloss
0	0.6854880504
1	0.6785497256
2	0.672176685
3	0.6645032853
4	0.6582422846
5	0.6518090727
6	0.6476775294
7	0.6429803169
8	0.6387387095
9	0.6346070949
10	0.6306410839
11	0.6275946566
12	0.6218908166
13	0.6175985778
14	0.6133253509
15	0.609439264
16	0.606641275
17	0.6030070039
18	0.6009882168
19	0.5986175614
20	0.5963551042
21	0.5928006268
22	0.5904145288
23	0.587927027
24	0.5844938208
25	0.5840709812
26	0.5812456209
27	0.5791603019
28	0.5767485713
29	0.5747120149
30	0.5719546135
31	0.5706910177
32	0.5682555312
33	0.5667896812
34	0.5656234117
35	0.5633132129
36	0.5628961322
37	0.5611084388
38	0.5596272252
39	0.5581075449
40	0.5569813869
41	0.5551803256
42	0.5534190998
43	0.5511561621
44	0.5499240319
45	0.5488218076
46	0.5477137038
47	0.5464479681
48	0.5452751229
49	0.5442933115
50	0.5436001743
51	0.5420658369
52	0.5410333616
53	0.5390827314
54	0.5375498227
55	0.5367038467
56	0.5355304111
57	0.5348703826
58	0.5335688432
59	0.5323385703
60	0.5321089603
61	0.531101179
62	0.5302318967
63	0.5286019692
64	0.5285666603
65	0.5267463744
66	0.5260671687
67	0.5254537058
68	0.5250535167
69	0.5242848684
70	0.5233683499
71	0.5227054478
72	0.5224035584
73	0.5208785574
74	0.5194228561
75	0.5187685699
76	0.5179148149
77	0.5169093111
78	0.5157828482
79	0.5153962519
80	0.5149897722
81	0.5142764792
82	0.5133642889
83	0.5126344555
84	0.5119100383
85	0.5112246101
86	0.5107617826
87	0.510239763
88	0.5096374246
89	0.5093214007
90	0.5085427918
91	0.5082110696
92	0.5078556628
93	0.5073336335
94	0.5066642658
95	0.5055147003
96	0.5049337411
97	0.5043316822
98	0.5027532982
99	0.5025241442
100	0.5021196036
101	0.5016222936
102	0.5011468536
103	0.5004463148
104	0.4999772751
105	0.4995997876
106	0.4989572943
107	0.4983099842
108	0.4974275158
109	0.4969038768
110	0.4958986499
111	0.4953466412
112	0.4944056741
113	0.4928729783
114	0.4923877381
115	0.4918270261
116	0.4916748956
117	0.4915758216
118	0.4906210754
119	0.4896016484
120	0.4889390877
121	0.4884734809
122	0.487899769
123	0.4871573068
124	0.4864038468
125	0.486058267
126	0.4859087097
127	0.4858340461
128	0.4850376605
129	0.4845117367
130	0.4836941102
131	0.4831825381
132	0.4825238104
133	0.4822034652
134	0.4814409929
135	0.4810960311
136	0.4806773425
137	0.4796366447
138	0.4788930186
139	0.478495715
140	0.4782998831
141	0.4777924799
142	0.4767858172
143	0.4767858123
144	0.4761115772
145	0.4753937947
146	0.4746520117
147	0.4736094481
148	0.4735067073
149	0.4730254393
150	0.4726011432
151	0.4722606578
152	0.4720875553
153	0.4715179129
154	0.4702722797
155	0.4700926909
156	0.4699691693
157	0.469628041
158	0.4693309724
159	0.4685566718
160	0.4683087148
161	0.4676711818
162	0.4673758
163	0.4668042877
164	0.4664890897
165	0.4662338829
166	0.4661253882
167	0.4643937733
168	0.4637396873
169	0.4633383634
170	0.4633383465
171	0.4628321995
172	0.4624714018
173	0.4618510078
174	0.4609345793
175	0.4607556338
176	0.4603469733
177	0.460033266
178	0.4593326268
179	0.4591280072
180	0.4586787036
181	0.4583284174
182	0.4578466396
183	0.4574824103
184	0.4570733004
185	0.456698505
186	0.4561338374
187	0.4558286358
188	0.455203856
189	0.454938151
190	0.4546311261
191	0.4541168912
192	0.4540934528
193	0.4537090419
194	0.4533929399
195	0.4529994111
196	0.4529141663
197	0.4520263108
198	0.4515876448
199	0.4514131215
200	0.4512034515
201	0.4503760111
202	0.4501908403
203	0.450068784
204	0.4494479286
205	0.4488384263
206	0.4482989864
207	0.4475277036
208	0.4470054474
209	0.4468182167
210	0.4467021555
211	0.4463365839
212	0.4452119856
213	0.4448550799
214	0.4444629003
215	0.4443579219
216	0.4441827464
217	0.4438993341
218	0.443179026
219	0.4430107111
220	0.4429124263
