iter	Passed	Remaining
0	7	7763
1	15	7863
2	23	7643
3	30	7506
4	36	7360
5	40	6641
6	44	6351
7	49	6155
8	55	6087
9	60	6019
10	63	5715
11	69	5719
12	74	5668
13	81	5770
14	86	5703
15	94	5784
16	100	5829
17	103	5637
18	108	5599
19	111	5443
20	115	5397
21	119	5294
22	125	5324
23	132	5401
24	140	5474
25	146	5505
26	156	5635
27	164	5709
28	174	5838
29	182	5899
30	188	5904
31	195	5917
32	200	5873
33	206	5877
34	213	5878
35	218	5862
36	222	5798
37	226	5746
38	241	5954
39	268	6447
40	285	6675
41	296	6760
42	308	6863
43	312	6782
44	319	6780
45	338	7013
46	350	7103
47	359	7137
48	363	7049
49	369	7024
50	375	6994
51	378	6908
52	380	6806
53	384	6734
54	390	6702
55	396	6685
56	401	6647
57	408	6627
58	412	6584
59	418	6552
60	424	6535
61	430	6517
62	434	6465
63	440	6443
64	446	6419
65	452	6404
66	458	6391
67	465	6379
68	472	6369
69	476	6336
70	484	6339
71	492	6350
72	503	6389
73	510	6391
74	518	6399
75	525	6384
76	533	6400
77	540	6385
78	546	6369
79	550	6335
80	558	6331
81	563	6304
82	569	6293
83	575	6276
84	582	6265
85	588	6253
86	592	6220
87	597	6190
88	603	6178
89	611	6185
90	626	6259
91	637	6295
92	645	6290
93	652	6293
94	659	6277
95	665	6268
96	673	6265
97	677	6231
98	680	6192
99	687	6186
100	694	6185
101	703	6189
102	710	6184
103	717	6180
104	723	6169
105	729	6150
106	733	6120
107	738	6103
108	744	6084
109	750	6072
110	755	6052
111	762	6044
112	768	6030
113	773	6014
114	780	6005
115	785	5986
116	791	5970
117	796	5954
118	800	5927
119	805	5906
120	811	5893
121	816	5873
122	821	5860
123	822	5813
124	827	5790
125	832	5771
126	837	5756
127	841	5731
128	846	5718
129	853	5709
130	856	5683
131	861	5667
132	867	5656
133	873	5647
134	878	5631
135	883	5613
136	889	5606
137	896	5599
138	902	5592
139	910	5594
140	916	5582
141	922	5574
142	927	5561
143	935	5562
144	939	5539
145	942	5513
146	946	5494
147	950	5469
148	955	5456
149	957	5424
150	959	5397
151	966	5390
152	970	5374
153	974	5354
154	981	5349
