iter	Passed	Remaining
0	11	11540
1	19	9703
2	25	8640
3	33	8239
4	40	8127
5	48	8040
6	55	7884
7	60	7470
8	67	7457
9	75	7516
10	82	7432
11	89	7377
12	95	7252
13	101	7159
14	108	7102
15	113	7004
16	118	6873
17	123	6744
18	127	6597
19	135	6632
20	141	6614
21	148	6602
22	155	6595
23	158	6452
24	165	6452
25	173	6487
26	180	6510
27	185	6428
28	193	6462
29	199	6459
30	207	6496
31	215	6512
32	222	6530
33	229	6515
34	236	6510
35	240	6452
36	248	6473
37	254	6450
38	258	6373
39	265	6383
40	272	6376
41	278	6363
42	285	6354
43	292	6358
44	299	6357
45	305	6345
46	312	6335
47	317	6291
48	322	6268
49	331	6291
50	337	6286
51	344	6281
52	350	6268
53	357	6270
54	364	6255
55	371	6257
56	378	6263
57	385	6269
58	393	6277
59	401	6283
60	407	6272
61	415	6282
62	421	6276
63	428	6263
64	432	6218
65	439	6213
66	446	6213
67	452	6208
68	460	6216
69	467	6208
70	475	6217
71	482	6214
72	490	6225
