iter	Logloss
0	0.6672421242
1	0.6434349857
2	0.6214475637
3	0.6012730867
4	0.5826812418
5	0.5650587028
6	0.546743903
7	0.5322944278
8	0.5166582235
9	0.5013964696
10	0.4902440118
11	0.4765137228
12	0.4670402419
13	0.4555622899
14	0.4460415608
15	0.4356342667
16	0.4290384469
17	0.4229574246
18	0.4171107316
19	0.4117931054
20	0.4070246853
21	0.4022772447
22	0.3968304729
23	0.3903441108
24	0.386950475
25	0.382624108
26	0.3797397509
27	0.3750275101
28	0.372566567
29	0.3699924353
30	0.3657739285
31	0.3613543199
32	0.3576724388
33	0.3554636021
34	0.3540171084
35	0.3519145755
36	0.3495169509
37	0.347372502
38	0.3461889602
39	0.343861314
40	0.3421893372
41	0.339577044
42	0.3368753711
43	0.3347886844
44	0.3325724658
45	0.3317234575
46	0.3302481756
47	0.3286632065
48	0.3267899793
49	0.32618077
50	0.3248972899
51	0.3237154978
52	0.323003191
53	0.3227313391
54	0.3214428917
55	0.3202739065
56	0.3194804758
57	0.3187732164
58	0.3175441634
59	0.316876495
60	0.3160256302
61	0.3150615585
62	0.3145566939
63	0.3142106832
64	0.3134965742
65	0.3130962568
66	0.3126169887
67	0.3119419701
68	0.3117416403
69	0.3115359285
70	0.3110177127
71	0.3108132453
72	0.3106149384
73	0.3103171511
74	0.3101362987
75	0.3100189893
76	0.3096361082
77	0.3092297653
78	0.3088945644
79	0.308653619
80	0.3086260384
81	0.3083573102
82	0.307950749
83	0.3078345987
84	0.307461452
85	0.307252674
86	0.3070891256
87	0.3065553729
88	0.3064357717
89	0.3063800955
90	0.3061287095
91	0.3058205905
92	0.305810722
93	0.3052733733
94	0.3050425361
95	0.3049819861
96	0.3048155324
97	0.3046446444
98	0.3044163881
99	0.3044112258
100	0.304406411
101	0.3042683523
102	0.3041915942
103	0.3039999735
104	0.3038231539
105	0.3038201662
106	0.3036236097
107	0.3035674104
108	0.3035651078
109	0.3030704631
110	0.3030620734
111	0.302998098
112	0.3028619057
113	0.3025709354
114	0.3025156977
115	0.3024318994
116	0.3022337119
117	0.3018632912
118	0.3017245586
119	0.3015226922
120	0.3015222047
121	0.3015217499
122	0.3015213255
123	0.3014768238
124	0.3012030144
125	0.3011096609
126	0.3011093374
127	0.3010560777
128	0.3009757376
129	0.3009193644
130	0.300784334
131	0.3007831986
132	0.3007777832
133	0.3007416562
134	0.3005621286
135	0.3005612245
136	0.3001356277
137	0.2999626811
138	0.2998294589
139	0.2998294399
140	0.2995117164
141	0.2995115153
142	0.2994226898
143	0.299422689
144	0.299368175
145	0.2993245577
146	0.2992593444
147	0.2992131055
148	0.2991025738
149	0.2989043785
150	0.2988104185
151	0.2988104183
152	0.2987437953
153	0.2987437013
154	0.2986955345
155	0.2985234255
156	0.2985233011
157	0.2985130566
158	0.2984525516
159	0.2983711921
160	0.2983520194
161	0.2982694665
162	0.2982289532
163	0.2980407339
164	0.2979019044
165	0.2978947289
166	0.2978681104
167	0.2977839318
168	0.2977074159
169	0.2976541091
170	0.2975524744
171	0.2975524542
172	0.2974462196
173	0.2973533423
174	0.2973322444
175	0.2973169944
176	0.2973162749
177	0.2972856634
178	0.2970782316
179	0.2970235197
180	0.2969457191
181	0.2968755738
182	0.2968755274
183	0.2968265251
184	0.2968208709
185	0.2968137485
186	0.296808369
187	0.2967349517
188	0.2966748873
189	0.2966748122
190	0.2966539086
191	0.2966192027
192	0.2966189918
193	0.2966189199
194	0.2965838271
195	0.2965165118
196	0.296511573
197	0.2965029722
198	0.2964896049
199	0.2964895057
200	0.2964755267
201	0.2963935259
202	0.2963934452
203	0.2963927274
204	0.2963713195
205	0.2963712973
206	0.296371292
207	0.296269679
208	0.2962696276
209	0.2962696244
210	0.2962465227
211	0.2962259527
212	0.2962259323
213	0.2962259299
214	0.2960388892
215	0.2960043813
216	0.29597548
217	0.2959145358
218	0.2958711481
219	0.2958711006
220	0.2958692892
221	0.2958497464
222	0.2958497383
223	0.2958112
224	0.2957875428
225	0.2957189675
226	0.2957189659
227	0.2956127997
228	0.2954974487
229	0.2954960516
230	0.2954017801
231	0.2953815503
232	0.2953805538
233	0.2953202061
234	0.2953060233
235	0.2952585258
236	0.295257955
237	0.2952426032
238	0.2951488951
239	0.2951488632
240	0.2950407345
241	0.2950300921
242	0.2950300607
243	0.2950053933
244	0.2949877991
245	0.2949249233
246	0.2949198948
247	0.2949198667
248	0.2948525816
249	0.2947836553
250	0.2947257151
251	0.2947256492
252	0.2947236899
253	0.2947236659
254	0.2945405773
255	0.2945029159
256	0.2944601476
257	0.2944601328
258	0.2944467823
259	0.2944467626
260	0.2944440164
261	0.2943943083
262	0.2943627502
263	0.2943326433
264	0.2943319507
265	0.2943091907
266	0.2941789799
267	0.2941452946
268	0.2941266933
269	0.2941230894
270	0.2940293304
271	0.2939758769
272	0.293946639
273	0.2939466294
274	0.2939373016
275	0.2938999414
276	0.2938741721
277	0.2938639296
278	0.2938506144
279	0.2938059114
280	0.2937999347
281	0.293794574
282	0.2935790473
283	0.2935754587
284	0.2934596383
285	0.2934535679
286	0.2934446343
287	0.2934438854
288	0.2933992047
289	0.2933641846
290	0.2933612868
291	0.2933417485
292	0.2931356133
293	0.2931356094
294	0.2931288827
295	0.2929733031
296	0.2929732689
297	0.2928825289
298	0.2928823432
299	0.2928823108
300	0.2928495409
301	0.2928355534
302	0.2928139582
303	0.2927914036
304	0.2927913753
305	0.2927542531
306	0.2927375036
307	0.2927374777
308	0.2927374704
309	0.2927223088
310	0.2927028735
311	0.2927000769
312	0.2926760063
313	0.2926760059
314	0.2926453176
315	0.2926414241
316	0.2926166534
317	0.2926166483
318	0.2924876354
319	0.2923929366
320	0.2923129501
321	0.2923129401
322	0.292258114
323	0.2921624288
324	0.2920949418
325	0.2920300202
326	0.2920055652
327	0.2919999685
328	0.2919260965
329	0.2918745891
330	0.291836769
331	0.291826392
332	0.2918180783
333	0.2917321878
334	0.2916559041
335	0.2916413191
336	0.2916413114
337	0.2914991237
338	0.2914792144
339	0.2913925274
340	0.291248488
341	0.2911136569
342	0.2911136295
343	0.2911132573
344	0.2911120798
345	0.2911120459
346	0.2910055748
347	0.2909451153
348	0.2909450812
349	0.2909032344
350	0.2908314234
351	0.2907045683
352	0.2907014142
353	0.2907013898
354	0.2906907095
355	0.2905650703
356	0.2905650352
357	0.2904134057
358	0.2903127672
359	0.2902865022
360	0.2902274006
361	0.289988866
362	0.2899137288
363	0.2898706221
364	0.2898706089
365	0.2898633808
366	0.2896987728
367	0.2896742944
368	0.2896612099
369	0.2894157987
370	0.2892538341
371	0.2890408481
372	0.2887611758
373	0.2887413008
374	0.2886752879
375	0.2884982114
376	0.2883673424
377	0.2882701847
378	0.2881640854
379	0.2880556151
380	0.287986936
381	0.2877484286
382	0.2875854944
383	0.2874915084
384	0.2874475983
385	0.2874303493
386	0.2872825278
387	0.28704862
388	0.286868143
389	0.2865802106
390	0.2864297206
391	0.2863126096
392	0.2862355295
393	0.2862269276
394	0.2861248732
395	0.2860433731
396	0.2857910933
397	0.2857822397
398	0.2853228317
399	0.2850224548
400	0.2848362982
401	0.284517417
402	0.2843796179
403	0.284130732
404	0.2839407284
405	0.2837270215
406	0.2835067906
407	0.2832064427
408	0.2830776247
409	0.2828552198
410	0.2827191962
411	0.2826895838
412	0.2824490751
413	0.28225198
414	0.2820722524
415	0.2819679475
416	0.2816896638
417	0.2813686471
418	0.281077208
419	0.2808890451
420	0.2806213803
421	0.2804395652
422	0.2801088705
423	0.2798622784
424	0.2797322391
425	0.2795423362
426	0.2794495075
427	0.2793856559
428	0.279241271
429	0.2789821638
430	0.2789761471
431	0.2788803878
432	0.2786088992
433	0.2784102375
434	0.2781785492
435	0.2778796578
436	0.2776085822
437	0.2773091324
438	0.2772102579
439	0.2768732695
440	0.276692621
441	0.2764397727
442	0.276361076
443	0.2762949851
444	0.2761336396
445	0.275922663
446	0.2757153881
447	0.2755083235
448	0.2753460585
449	0.2751847124
450	0.2749765312
451	0.2748049808
452	0.2746498612
453	0.2744889768
454	0.2743030058
455	0.2741344856
456	0.2740640701
457	0.2739498069
458	0.2738453972
459	0.2737077476
460	0.2736084912
461	0.273349231
462	0.2732530518
463	0.2731594051
464	0.272953671
465	0.272890365
466	0.2727235829
467	0.2725661432
468	0.2724867614
469	0.2723545115
470	0.2721880423
471	0.2720876193
472	0.272005834
473	0.2718284689
474	0.2717046776
475	0.271572401
476	0.271470215
477	0.2713694114
478	0.2713107972
479	0.2712254671
480	0.2710193582
481	0.2709236736
482	0.2708571452
483	0.2707117042
484	0.2705187856
485	0.2703770315
486	0.2701661348
487	0.2699764258
488	0.2697809403
489	0.2696385306
490	0.269478441
491	0.2694227827
492	0.2692768691
493	0.2692102265
494	0.2691423876
495	0.269102169
496	0.2689002
497	0.2688012493
498	0.2686786501
499	0.2686028478
500	0.2684353521
501	0.2683416781
502	0.2682255083
503	0.2680867723
504	0.2679814567
505	0.2678019526
506	0.2677042157
507	0.2675505676
508	0.2674741858
509	0.267354577
510	0.2673034694
511	0.2671727049
512	0.2670858075
513	0.2670241144
514	0.2668815879
515	0.2668292008
516	0.2668245272
517	0.2667180498
518	0.2666652202
519	0.2665560255
520	0.2664099997
521	0.2663376072
522	0.2662124809
523	0.2661189186
524	0.2660164295
525	0.2659069344
526	0.2658140256
527	0.2657448831
528	0.2656354162
529	0.2655420123
530	0.2654546122
531	0.2653733929
532	0.2652633378
533	0.2651331903
534	0.2650177597
535	0.2648402354
536	0.2647800237
537	0.2647321156
538	0.2647075546
539	0.264673868
540	0.264597363
541	0.2645744294
542	0.2645017921
543	0.2644184186
544	0.2643714284
545	0.2642142899
546	0.2640184136
547	0.2639598512
548	0.2639388388
549	0.2638186838
550	0.2637611869
551	0.2636776551
552	0.2635314136
553	0.2634762109
554	0.2633383677
555	0.2632171853
556	0.2631077227
557	0.2629614627
558	0.2629150614
559	0.2628838982
560	0.2627694658
561	0.2626923749
562	0.2625696341
563	0.2624489071
564	0.2623990932
565	0.2623211782
566	0.2622269341
567	0.2621298811
568	0.2620467293
569	0.2619294791
570	0.261873168
571	0.2618469355
572	0.2617882384
573	0.2616952361
574	0.2616009975
575	0.2615584301
576	0.2615144364
577	0.2613950462
578	0.26133698
579	0.2612965049
580	0.2611549998
581	0.2611206721
582	0.2610594334
583	0.2609701729
584	0.2609052263
585	0.2608161002
586	0.260701621
587	0.260640718
