iter	Passed	Remaining
0	55	38575
1	81	27989
2	99	22906
3	108	18585
4	115	15864
5	129	14842
6	154	15141
7	162	13858
8	172	13122
9	192	13146
10	199	12331
11	219	12429
12	233	12191
13	262	12726
14	286	12933
15	326	13774
16	375	14922
17	393	14727
18	417	14793
19	441	14818
20	456	14571
21	515	15709
22	529	15405
23	556	15493
24	567	15137
25	585	14997
26	592	14587
27	623	14785
28	651	14888
29	660	14581
30	682	14544
31	737	15219
32	769	15371
33	785	15209
34	794	14911
35	808	14735
36	823	14579
37	838	14431
38	846	14178
39	863	14081
40	880	13984
41	905	14006
42	923	13940
43	937	13810
44	956	13745
45	976	13706
46	999	13721
47	1014	13612
48	1063	13953
49	1076	13817
50	1221	15357
51	1291	15901
52	1323	15955
53	1336	15793
54	1360	15757
55	1379	15670
56	1394	15540
57	1406	15372
58	1421	15251
59	1443	15203
60	1513	15655
61	1530	15548
62	1572	15698
63	1581	15519
64	1622	15649
65	1665	15799
66	1699	15849
67	1722	15806
68	1744	15747
69	1763	15665
70	1791	15669
71	1806	15553
72	1817	15408
73	1833	15313
74	1857	15279
75	1872	15176
76	1914	15290
77	1947	15327
78	1967	15269
79	1987	15202
80	1998	15073
81	2040	15181
82	2108	15467
83	2179	15776
84	2224	15882
85	2317	16333
86	2364	16443
87	2465	16920
88	2518	17063
89	2539	16987
90	2588	17094
91	2689	17541
92	2707	17437
93	2764	17586
94	2805	17629
95	2814	17471
96	2832	17376
97	2854	17298
98	2879	17247
99	2887	17092
100	2897	16955
101	2908	16824
102	2919	16696
103	2944	16648
104	2966	16586
105	2977	16460
106	2998	16394
107	3009	16274
108	3016	16133
109	3035	16061
110	3050	15965
111	3064	15868
112	3072	15744
113	3084	15638
114	3095	15533
115	3107	15430
116	3126	15364
117	3171	15427
118	3198	15400
119	3225	15372
120	3236	15271
121	3244	15159
122	3250	15037
123	3269	14976
124	3291	14928
125	3303	14838
126	3311	14732
127	3329	14671
128	3343	14590
129	3352	14491
130	3367	14420
131	3385	14363
132	3396	14274
133	3416	14226
134	3439	14191
135	3460	14148
136	3490	14140
137	3507	14079
138	3522	14012
139	3527	13908
140	3544	13849
141	3551	13755
142	3564	13684
143	3569	13584
144	3583	13519
145	3604	13479
146	3633	13472
147	3653	13429
148	3668	13369
149	3695	13351
150	3713	13304
151	3720	13215
152	3729	13138
153	3750	13102
154	3759	13026
155	3772	12961
156	3779	12880
157	3795	12829
158	3817	12797
159	3836	12756
160	3845	12681
161	3861	12634
162	3869	12558
163	3886	12512
164	3913	12498
165	3923	12433
166	3931	12358
167	3945	12305
168	3971	12290
169	3979	12219
170	3994	12170
171	3999	12092
172	4013	12039
173	4031	12002
174	4047	11958
175	4070	11932
176	4090	11900
177	4110	11869
178	4128	11831
179	4136	11766
180	4156	11735
181	4171	11690
182	4179	11626
183	4263	11770
184	4286	11747
185	4301	11701
186	4313	11647
187	4331	11612
188	4347	11570
189	4356	11509
190	4363	11445
191	4373	11389
192	4390	11351
193	4400	11296
194	4413	11248
195	4428	11206
196	4439	11155
197	4446	11095
198	4458	11046
199	4466	10987
200	4479	10942
201	4500	10916
202	4507	10857
203	4523	10821
204	4548	10806
205	4554	10744
206	4564	10693
207	4582	10662
208	4589	10605
209	4595	10546
210	4601	10489
211	4615	10450
212	4620	10391
213	4625	10332
214	4640	10296
215	4651	10251
216	4667	10216
217	4683	10184
218	4696	10143
219	4704	10094
220	4714	10046
221	4722	9998
222	4730	9948
223	4742	9908
224	4754	9867
225	4781	9859
226	4787	9806
227	4812	9793
228	4834	9774
229	4845	9732
230	4859	9698
231	4880	9676
232	4886	9626
233	4908	9607
234	4916	9561
235	4935	9535
236	4951	9506
237	4962	9465
238	4979	9437
239	4984	9387
240	5006	9368
241	5020	9336
242	5026	9288
243	5036	9246
244	5048	9210
245	5062	9179
246	5075	9144
247	5081	9096
248	5099	9072
249	5117	9047
250	5133	9020
251	5142	8979
252	5152	8940
253	5157	8894
254	5172	8863
255	5189	8837
256	5207	8814
257	5214	8771
258	5225	8736
259	5230	8691
260	5245	8661
261	5261	8635
262	5270	8597
263	5298	8589
264	5314	8562
265	5332	8539
266	5351	8518
267	5364	8487
268	5373	8449
269	5383	8414
270	5400	8389
271	5427	8381
272	5451	8367
273	5460	8330
274	5468	8292
275	5477	8256
276	5494	8232
277	5502	8193
278	5510	8157
279	5526	8132
280	5537	8098
281	5547	8065
282	5570	8050
283	5580	8016
284	5595	7990
285	5604	7956
286	5617	7927
287	5631	7899
288	5645	7872
289	5660	7846
290	5667	7810
291	5679	7779
292	5697	7758
293	5702	7719
