iter	Logloss
0	0.636618528
1	0.5897220919
2	0.551276562
3	0.517454468
4	0.4883658528
5	0.4625102416
6	0.4412647873
7	0.4238362556
8	0.4073538942
9	0.3944241133
10	0.3830275045
11	0.3740534051
12	0.3661720905
13	0.359017708
14	0.3528152016
15	0.3474711597
16	0.3435731544
17	0.3402084753
18	0.3374686962
19	0.3342755998
20	0.3310818335
21	0.3284812853
22	0.3262455091
23	0.3253376251
24	0.3236770727
25	0.3220447286
26	0.3205092248
27	0.3198011221
28	0.3188111091
29	0.3178989971
30	0.3167586484
31	0.3158645481
32	0.3150083405
33	0.3141783493
34	0.3133247197
35	0.3130032827
36	0.3124097786
37	0.311901457
38	0.3117657734
39	0.3112154481
40	0.3107046239
41	0.3101721854
42	0.3092821717
43	0.3089504472
44	0.3084072562
45	0.3080187972
46	0.3076841739
47	0.3075857533
48	0.3073116765
49	0.3068737703
50	0.3064627583
51	0.3062454698
52	0.3059796469
53	0.3058747077
54	0.305677957
55	0.305373202
56	0.3052040135
57	0.3048629373
58	0.3045446216
59	0.3044065988
60	0.3042251303
61	0.3037336628
62	0.3035137754
63	0.3034310726
64	0.3033997615
65	0.3032450125
66	0.3029917297
67	0.3028538135
68	0.3027173478
69	0.3025648114
70	0.3022619161
71	0.3021211964
72	0.301987827
