iter	Passed	Remaining
0	69	69192
1	76	38146
2	82	27566
3	89	22377
4	97	19389
5	105	17490
6	112	15942
7	116	14407
8	123	13546
9	130	12886
10	136	12309
11	143	11789
12	147	11230
13	154	10864
14	160	10530
15	165	10205
16	170	9865
17	175	9577
18	179	9280
19	185	9104
20	193	9033
21	204	9070
22	212	9014
23	217	8831
24	224	8743
25	231	8686
26	239	8614
27	242	8407
28	248	8313
29	253	8199
30	260	8135
31	266	8053
32	271	7968
33	277	7890
34	283	7822
35	287	7687
36	293	7648
37	299	7584
38	302	7458
39	309	7417
40	315	7368
41	321	7339
42	327	7293
43	334	7257
44	341	7240
45	346	7192
46	352	7149
47	356	7071
48	361	7022
49	368	6999
50	374	6976
51	381	6951
52	387	6917
53	393	6887
54	399	6856
55	406	6846
56	412	6828
57	420	6822
58	425	6790
59	431	6759
60	437	6727
61	443	6705
62	449	6683
63	455	6661
64	458	6601
65	464	6576
66	471	6560
67	476	6534
68	483	6525
69	489	6504
70	495	6489
71	501	6469
72	509	6470
