,age,job,marital,education,balance,housing,loan,day,month,campaign
28686,29,services,single,secondary,-205,0,0,30,jan,1
9304,53,blue-collar,married,primary,0,1,0,5,jun,2
41425,55,management,married,primary,2587,0,0,4,sep,2
44803,30,technician,single,tertiary,0,0,0,15,sep,2
5878,30,unemployed,married,secondary,529,1,1,26,may,3
3814,27,blue-collar,single,primary,0,1,0,16,may,1
796,34,services,married,secondary,205,1,0,7,may,1
12285,49,housemaid,married,primary,57,0,1,25,jun,1
2222,28,technician,single,secondary,34,1,0,12,may,4
14938,42,services,married,secondary,3465,1,1,16,jul,2
22121,31,technician,single,secondary,388,0,0,21,aug,2
14911,26,admin.,single,secondary,0,1,0,16,jul,2
11465,35,management,single,tertiary,2808,1,0,19,jun,12
41235,28,student,single,tertiary,3733,1,0,21,aug,5
14101,49,blue-collar,married,secondary,3728,1,0,11,jul,2
6272,46,technician,married,secondary,-337,1,0,27,may,1
10799,48,blue-collar,married,primary,1670,0,0,17,jun,1
14488,33,technician,married,tertiary,40,1,0,14,jul,3
7551,37,technician,single,secondary,1255,1,0,30,may,2
21715,52,management,single,tertiary,1205,0,0,19,aug,20
43912,56,admin.,married,secondary,602,0,0,14,jun,1
22214,32,housemaid,married,secondary,0,0,0,21,aug,2
11574,39,blue-collar,single,secondary,1986,0,1,19,jun,1
35146,58,entrepreneur,divorced,secondary,0,1,0,7,may,3
24254,39,blue-collar,married,primary,3324,0,0,17,nov,1
12475,43,admin.,single,secondary,91,0,1,1,jul,2
42345,70,retired,married,primary,3230,0,0,24,nov,1
43334,52,technician,single,secondary,436,0,1,22,mar,1
36414,46,blue-collar,divorced,primary,916,1,0,11,may,2
17404,26,services,single,primary,179,1,1,28,jul,4
33802,30,management,single,tertiary,398,0,0,24,apr,2
336,42,admin.,single,secondary,1022,1,0,5,may,2
9469,56,unemployed,divorced,secondary,763,0,0,6,jun,2
7402,33,technician,married,secondary,1844,1,0,29,may,3
19541,36,management,single,tertiary,613,0,0,7,aug,2
9493,32,services,divorced,secondary,5267,1,0,6,jun,2
27581,33,blue-collar,divorced,secondary,744,1,0,21,nov,3
36796,31,technician,single,secondary,1,1,0,12,may,1
40571,75,retired,married,secondary,26452,0,0,15,jul,2
25497,52,management,married,tertiary,488,1,0,19,nov,3
26085,31,self-employed,single,tertiary,217,0,0,19,nov,4
5480,53,admin.,married,secondary,-375,1,0,23,may,1
9173,37,blue-collar,married,unknown,1795,1,0,5,jun,1
22069,38,technician,married,secondary,63,0,0,20,aug,4
10139,49,entrepreneur,married,tertiary,384,0,0,11,jun,1
559,42,technician,married,secondary,315,1,0,6,may,2
3827,43,management,married,secondary,452,1,0,16,may,2
22200,45,blue-collar,married,secondary,1179,0,0,21,aug,6
5432,30,technician,married,secondary,0,1,0,23,may,2
37622,26,blue-collar,single,secondary,1006,1,0,14,may,1
44013,68,retired,divorced,primary,476,0,0,28,jun,1
17590,59,management,divorced,tertiary,3390,0,0,29,jul,2
9331,37,services,single,secondary,2571,0,0,6,jun,2
21078,38,management,single,tertiary,2813,0,0,14,aug,2
22052,50,blue-collar,married,primary,8000,1,0,20,aug,10
31985,42,blue-collar,married,primary,2103,1,0,13,apr,2
28234,45,management,single,primary,707,1,0,29,jan,1
15273,54,blue-collar,single,secondary,40,1,0,18,jul,2
1936,47,management,divorced,tertiary,84,1,0,9,may,5
4352,25,blue-collar,married,secondary,316,1,1,19,may,2
7505,51,management,single,tertiary,3087,1,0,29,may,4
33160,43,admin.,married,secondary,101,1,0,20,apr,2
12020,39,technician,married,secondary,2765,1,1,20,jun,3
44104,29,admin.,single,secondary,1992,0,0,8,jul,1
28826,26,unemployed,single,tertiary,370,0,0,30,jan,1
35390,54,blue-collar,married,primary,6242,1,0,7,may,1
14128,56,management,married,tertiary,-762,1,1,11,jul,2
20033,43,self-employed,married,tertiary,3003,0,0,8,aug,3
41865,61,management,married,tertiary,0,0,0,16,oct,2
41670,61,management,married,tertiary,1224,0,0,1,oct,1
12034,58,services,married,secondary,0,0,0,20,jun,3
18988,33,technician,married,secondary,-89,0,1,4,aug,4
43742,64,retired,married,secondary,1612,0,0,18,may,1
2802,54,blue-collar,married,secondary,1288,1,0,14,may,1
17422,34,technician,single,secondary,2683,0,0,28,jul,2
8781,27,blue-collar,married,secondary,6196,1,0,4,jun,1
31415,36,management,married,secondary,565,0,0,27,mar,1
6723,32,admin.,single,secondary,-648,1,0,28,may,2
25259,38,management,divorced,unknown,0,1,0,18,nov,2
7476,46,blue-collar,married,secondary,0,1,0,29,may,2
10808,55,management,single,tertiary,854,1,1,17,jun,4
