,age,job,marital,education,balance,housing,loan,day,month,campaign
13510,31,admin.,single,secondary,1,0,0,9,jul,1
36462,42,services,married,secondary,292,1,0,11,may,3
32392,32,management,married,primary,5,1,0,16,apr,2
559,42,technician,married,secondary,315,1,0,6,may,2
32258,35,admin.,single,secondary,-101,1,0,16,apr,1
34123,55,admin.,married,secondary,139,0,0,30,apr,1
40447,26,self-employed,single,tertiary,2857,0,0,3,jul,1
23668,45,self-employed,married,secondary,396,0,0,28,aug,1
30526,34,admin.,single,secondary,713,0,0,5,feb,2
42818,20,student,single,primary,0,0,0,1,feb,5
32765,33,management,married,tertiary,3669,1,0,17,apr,1
25877,51,entrepreneur,married,tertiary,3,0,0,19,nov,2
40132,25,services,single,secondary,801,0,0,5,jun,2
42081,87,retired,married,primary,230,0,0,30,oct,1
20568,58,technician,married,secondary,175,0,0,12,aug,4
9352,28,blue-collar,married,secondary,708,1,0,6,jun,5
26868,53,management,married,tertiary,3366,0,0,20,nov,6
11077,57,entrepreneur,divorced,tertiary,873,0,0,17,jun,3
39567,34,management,married,tertiary,47,0,0,26,may,1
24346,48,management,single,tertiary,8106,0,0,17,nov,1
12507,45,self-employed,married,primary,-584,1,1,2,jul,2
37485,30,blue-collar,single,primary,17,1,0,13,may,3
45122,40,entrepreneur,single,tertiary,262,1,1,26,oct,1
6773,28,management,married,secondary,292,1,0,28,may,1
44603,20,student,single,primary,825,0,0,28,aug,1
39843,47,unknown,single,unknown,172,0,0,2,jun,1
42734,48,management,married,tertiary,1167,1,1,26,jan,4
36990,37,blue-collar,married,primary,37,1,0,13,may,2
578,53,blue-collar,married,primary,25,1,0,6,may,3
17033,57,management,divorced,secondary,23,0,1,25,jul,1
27531,56,blue-collar,divorced,secondary,9898,1,0,21,nov,3
20857,34,technician,married,secondary,0,1,1,13,aug,2
21183,48,services,married,secondary,125,0,0,14,aug,7
6572,40,admin.,single,secondary,877,1,0,28,may,6
3067,45,services,divorced,secondary,864,1,0,14,may,2
17883,41,management,married,tertiary,15,1,0,30,jul,2
26859,52,management,married,tertiary,7900,1,0,20,nov,2
33652,29,blue-collar,married,secondary,457,1,0,20,apr,3
32694,38,blue-collar,married,primary,398,1,1,17,apr,1
11997,43,blue-collar,married,primary,-41,0,0,20,jun,3
17471,31,blue-collar,married,primary,48,1,0,28,jul,4
3635,58,management,married,tertiary,2360,0,0,15,may,3
38346,32,technician,single,tertiary,1710,1,0,15,may,1
10099,41,management,single,tertiary,8368,0,0,11,jun,1
4307,35,management,married,tertiary,1253,1,0,19,may,2
30009,31,technician,single,tertiary,1320,0,0,4,feb,1
3687,27,student,single,tertiary,66,1,0,16,may,1
