iter	Passed	Remaining
0	5	5344
1	10	5024
2	12	4319
3	16	4148
4	20	3992
5	22	3749
6	26	3715
7	29	3596
8	33	3649
9	37	3729
10	39	3591
11	43	3607
12	47	3626
13	51	3646
14	54	3563
15	58	3605
16	63	3693
17	66	3655
18	73	3811
19	76	3726
20	78	3677
21	81	3644
22	88	3772
23	94	3858
24	100	3917
25	105	3956
26	111	4010
27	116	4051
28	126	4230
29	132	4295
30	139	4374
31	148	4478
32	152	4476
33	157	4474
34	160	4436
35	165	4430
36	170	4448
37	174	4415
38	179	4425
39	186	4467
40	198	4640
41	203	4631
42	209	4653
43	211	4591
44	216	4592
45	220	4582
46	227	4607
47	232	4609
48	234	4552
49	239	4552
50	245	4572
51	251	4589
52	253	4533
53	257	4507
54	262	4513
55	268	4526
56	273	4516
57	278	4527
58	283	4520
59	288	4513
60	292	4500
61	296	4491
62	300	4475
63	306	4485
64	310	4469
65	315	4469
66	319	4447
67	322	4422
68	327	4422
69	332	4411
70	337	4416
71	340	4384
72	344	4376
73	348	4356
74	352	4351
75	357	4346
76	361	4337
77	364	4311
78	370	4318
79	373	4300
80	378	4299
81	382	4282
82	386	4267
83	390	4253
84	395	4252
85	399	4241
86	401	4218
87	405	4201
88	410	4199
89	415	4202
90	421	4212
91	429	4236
92	437	4265
93	445	4297
94	451	4304
95	457	4310
96	461	4299
97	466	4294
98	469	4271
99	473	4258
100	477	4253
101	482	4246
102	487	4243
103	490	4228
104	495	4226
105	499	4209
106	502	4192
107	506	4186
108	511	4182
109	517	4187
110	522	4186
111	529	4196
112	535	4203
113	541	4209
114	547	4214
115	553	4217
116	560	4228
117	566	4237
118	571	4233
119	576	4224
120	580	4214
121	585	4214
122	589	4205
123	590	4173
124	595	4168
125	599	4161
126	603	4145
127	606	4131
128	609	4118
129	614	4109
130	617	4097
131	619	4076
132	623	4064
133	626	4051
134	629	4032
135	631	4013
136	635	4003
137	640	4002
138	644	3991
139	649	3990
140	653	3981
141	657	3975
142	660	3959
143	665	3955
144	668	3940
145	670	3923
146	673	3907
147	676	3891
148	680	3887
149	683	3873
150	686	3860
151	691	3857
152	694	3846
153	698	3837
154	702	3831
155	707	3825
156	710	3814
157	713	3803
158	718	3799
159	720	3784
160	724	3774
161	728	3768
162	730	3752
163	733	3740
164	737	3730
165	740	3721
166	744	3712
167	747	3702
168	751	3693
169	756	3693
170	760	3686
171	764	3678
172	768	3672
173	772	3665
174	777	3666
175	782	3664
176	786	3659
177	792	3658
178	800	3669
179	802	3657
180	807	3654
181	812	3649
182	816	3643
183	821	3642
184	824	3632
185	827	3620
186	831	3614
187	835	3608
188	837	3595
189	840	3583
190	843	3574
191	847	3567
192	850	3554
193	853	3547
194	858	3545
195	864	3544
196	869	3543
197	873	3540
198	877	3531
199	881	3526
200	885	3519
201	888	3511
202	894	3512
203	898	3507
204	903	3501
205	906	3494
206	910	3487
207	912	3476
208	916	3468
209	921	3465
210	924	3458
211	927	3449
212	932	3445
213	937	3443
214	942	3440
215	945	3432
216	947	3419
217	951	3414
218	956	3409
219	959	3402
220	963	3394
221	966	3388
222	971	3385
223	976	3382
224	981	3379
225	985	3374
226	988	3366
227	992	3360
228	997	3359
229	1002	3355
230	1006	3351
231	1010	3346
232	1015	3341
233	1018	3335
234	1023	3332
235	1028	3329
236	1033	3327
237	1037	3323
238	1041	3316
239	1046	3314
240	1050	3309
241	1053	3300
242	1059	3299
243	1062	3292
244	1066	3285
245	1069	3278
246	1073	3272
247	1077	3268
248	1083	3269
249	1087	3263
250	1092	3258
251	1096	3255
252	1101	3252
253	1105	3247
254	1110	3244
255	1114	3240
256	1118	3232
257	1121	3225
258	1126	3224
259	1130	3217
260	1135	3216
261	1140	3213
262	1145	3209
263	1148	3201
264	1152	3195
265	1155	3188
266	1160	3185
267	1163	3178
268	1168	3175
269	1171	3168
270	1177	3167
271	1181	3161
272	1187	3161
273	1190	3155
274	1196	3154
275	1200	3149
276	1203	3141
277	1207	3134
278	1210	3129
279	1215	3125
280	1223	3130
281	1229	3129
282	1234	3128
283	1239	3124
284	1243	3119
285	1246	3111
286	1249	3103
287	1254	3100
288	1258	3096
289	1262	3089
290	1264	3081
291	1269	3078
292	1273	3073
293	1278	3069
294	1281	3063
295	1285	3058
296	1290	3055
297	1295	3051
298	1298	3044
299	1303	3041
300	1308	3038
301	1312	3034
302	1316	3028
303	1319	3021
304	1324	3018
305	1329	3015
306	1334	3011
307	1338	3007
308	1342	3002
309	1347	2998
310	1350	2992
311	1354	2987
312	1358	2982
313	1362	2976
314	1366	2971
315	1371	2968
316	1375	2962
317	1379	2958
318	1382	2951
319	1386	2945
320	1389	2939
321	1394	2935
322	1398	2931
323	1403	2928
324	1407	2923
325	1411	2918
326	1415	2912
327	1419	2907
328	1422	2901
329	1426	2895
330	1432	2894
331	1436	2890
332	1441	2887
333	1445	2882
334	1450	2878
335	1456	2877
336	1461	2874
337	1465	2870
338	1469	2864
339	1473	2859
340	1477	2854
341	1481	2850
342	1486	2846
343	1490	2841
344	1495	2838
345	1501	2837
346	1506	2834
347	1510	2830
348	1516	2829
349	1523	2829
350	1528	2826
351	1532	2822
352	1539	2821
353	1544	2818
354	1548	2813
355	1552	2807
356	1556	2803
357	1560	2797
358	1564	2793
359	1570	2791
360	1575	2788
361	1580	2785
362	1584	2780
363	1589	2776
364	1594	2773
365	1599	2770
366	1604	2767
367	1608	2762
368	1612	2757
369	1616	2752
370	1620	2748
371	1624	2742
372	1629	2738
373	1633	2734
374	1637	2729
375	1643	2726
376	1647	2723
377	1650	2716
378	1655	2712
379	1657	2703
380	1660	2698
381	1664	2693
382	1669	2688
383	1672	2683
384	1676	2677
385	1680	2673
386	1686	2671
387	1690	2666
388	1695	2662
389	1698	2657
390	1702	2651
391	1706	2646
392	1711	2643
393	1715	2638
394	1720	2635
395	1725	2631
396	1729	2626
397	1733	2621
398	1737	2617
399	1741	2612
400	1746	2608
401	1749	2602
402	1753	2598
403	1758	2594
404	1765	2593
405	1770	2590
406	1775	2586
407	1779	2581
408	1782	2576
409	1787	2572
410	1792	2568
411	1797	2566
412	1802	2561
413	1806	2556
414	1810	2551
415	1814	2547
416	1818	2542
417	1822	2537
418	1826	2532
419	1830	2528
420	1834	2523
421	1837	2517
422	1840	2510
423	1844	2505
424	1849	2502
425	1854	2498
426	1859	2495
427	1862	2489
428	1867	2486
429	1872	2482
430	1878	2479
431	1881	2474
432	1885	2469
433	1891	2466
434	1894	2461
435	1898	2455
436	1902	2450
437	1905	2444
438	1908	2439
439	1911	2433
440	1916	2428
441	1921	2426
442	1926	2421
443	1930	2416
444	1934	2412
445	1939	2408
446	1944	2406
447	1948	2401
448	1953	2397
449	1956	2391
450	1963	2390
451	1970	2388
452	1975	2384
453	1980	2381
454	1984	2376
455	1987	2371
456	1992	2367
457	1995	2361
458	1998	2355
459	2003	2351
460	2007	2347
461	2011	2342
462	2015	2337
463	2017	2330
464	2021	2325
465	2024	2320
466	2029	2315
467	2032	2310
468	2036	2306
469	2041	2302
470	2047	2299
471	2052	2295
472	2055	2290
473	2058	2284
474	2060	2277
475	2065	2274
476	2071	2271
477	2078	2269
478	2082	2265
479	2087	2261
480	2091	2256
481	2094	2251
482	2100	2248
483	2104	2244
484	2109	2240
485	2113	2235
486	2118	2231
487	2122	2227
488	2127	2223
489	2132	2219
490	2136	2214
491	2139	2209
492	2143	2204
493	2149	2201
494	2153	2196
495	2157	2192
496	2162	2188
497	2165	2182
498	2170	2179
499	2174	2174
500	2178	2169
501	2182	2164
502	2186	2160
503	2189	2155
504	2195	2151
505	2198	2146
506	2202	2142
507	2206	2136
508	2209	2131
509	2213	2126
510	2217	2122
511	2221	2117
512	2224	2111
513	2231	2109
514	2234	2104
515	2239	2100
516	2243	2096
517	2247	2091
518	2251	2087
519	2257	2083
520	2261	2079
521	2265	2074
522	2270	2070
523	2275	2067
524	2279	2062
525	2283	2057
526	2287	2053
527	2291	2048
528	2295	2043
529	2299	2039
530	2303	2034
531	2307	2029
532	2311	2024
533	2313	2018
534	2317	2014
535	2322	2010
536	2328	2008
537	2335	2005
538	2340	2002
539	2344	1997
540	2347	1991
541	2352	1987
542	2358	1984
543	2362	1980
544	2366	1976
545	2370	1971
546	2373	1966
547	2377	1961
548	2382	1957
549	2387	1953
550	2391	1949
551	2395	1944
552	2400	1940
553	2403	1935
554	2408	1930
555	2413	1926
556	2417	1922
557	2423	1919
558	2428	1916
559	2434	1913
560	2444	1912
561	2450	1909
562	2456	1906
563	2460	1902
564	2466	1899
565	2471	1894
566	2474	1889
567	2478	1884
568	2482	1880
569	2485	1875
570	2489	1870
571	2494	1866
572	2499	1862
573	2504	1858
574	2508	1853
575	2512	1849
576	2517	1845
577	2522	1841
578	2527	1837
579	2531	1833
580	2534	1828
581	2539	1824
582	2544	1819
583	2548	1815
584	2550	1809
585	2554	1804
586	2558	1799
587	2561	1794
588	2566	1790
589	2570	1786
590	2574	1781
591	2577	1776
592	2582	1772
593	2585	1767
594	2589	1762
595	2592	1757
596	2596	1752
597	2599	1747
598	2604	1743
599	2608	1739
600	2613	1734
601	2618	1730
602	2623	1727
603	2629	1724
604	2634	1719
605	2638	1715
606	2642	1711
607	2647	1706
608	2651	1702
609	2655	1697
610	2659	1693
611	2663	1688
612	2668	1684
613	2673	1680
614	2677	1675
615	2682	1671
616	2685	1667
617	2690	1663
618	2695	1659
619	2700	1655
620	2705	1651
621	2709	1646
622	2714	1642
623	2717	1637
624	2721	1632
625	2723	1627
626	2729	1623
627	2733	1619
628	2739	1615
629	2743	1611
630	2747	1606
631	2753	1603
632	2758	1599
633	2763	1595
634	2768	1591
635	2772	1586
636	2776	1582
637	2781	1578
638	2786	1574
639	2791	1569
640	2796	1565
641	2798	1560
642	2802	1555
643	2806	1551
644	2811	1547
645	2815	1542
646	2820	1538
647	2824	1534
648	2829	1530
649	2832	1525
650	2835	1520
651	2840	1516
652	2844	1511
653	2848	1506
654	2851	1501
655	2857	1498
656	2862	1494
657	2865	1489
658	2870	1485
659	2875	1481
660	2879	1476
661	2884	1472
662	2890	1469
663	2897	1465
664	2901	1461
665	2905	1457
666	2909	1452
667	2913	1448
668	2919	1444
669	2925	1440
670	2931	1437
671	2935	1432
672	2939	1428
673	2943	1423
674	2946	1418
675	2951	1414
676	2955	1410
677	2959	1405
678	2963	1401
679	2967	1396
680	2971	1392
681	2974	1387
682	2980	1383
683	2983	1378
684	2987	1373
685	2990	1369
686	2996	1365
687	3001	1361
688	3008	1357
689	3013	1353
690	3017	1349
691	3022	1345
692	3027	1341
693	3031	1336
694	3036	1332
695	3041	1328
696	3045	1324
697	3051	1320
698	3055	1315
699	3060	1311
700	3063	1306
701	3068	1302
702	3072	1298
703	3077	1294
704	3083	1290
705	3087	1285
706	3091	1281
707	3097	1277
708	3101	1273
709	3105	1268
710	3111	1264
711	3116	1260
712	3120	1256
713	3124	1251
714	3131	1248
715	3135	1243
716	3136	1238
717	3139	1233
718	3144	1228
719	3147	1224
