iter	Passed	Remaining
0	3	66020
1	6	63769
2	9	65434
3	13	68303
4	17	70738
5	21	71366
6	26	76297
7	31	77594
8	34	77275
9	38	76044
10	40	73141
11	43	72901
12	46	71598
13	49	70334
14	51	69094
15	54	67717
16	57	67532
17	60	66883
18	62	65657
19	64	63995
20	67	63815
21	69	63280
22	70	61530
23	73	61276
24	76	61232
25	79	60893
26	82	60846
27	84	60247
28	85	59038
29	88	58711
30	90	58272
31	93	58238
32	95	58050
33	98	57635
34	100	57418
35	103	57229
36	105	57116
37	108	57132
38	111	57145
39	115	57503
40	120	58755
41	125	59777
42	129	60277
43	132	60094
44	134	59763
45	140	60933
46	144	61179
47	149	61964
48	152	62268
49	155	61913
50	164	64260
51	167	64407
52	170	64328
53	174	64546
54	177	64316
55	180	64249
56	183	64106
57	184	63536
58	187	63215
59	189	63091
60	192	62849
61	193	62300
62	195	62006
63	197	61508
64	199	61269
65	202	61050
66	204	60746
67	206	60480
68	208	60101
69	210	59844
70	212	59513
71	213	59223
72	216	58973
73	218	58701
74	220	58519
75	221	58153
76	223	57948
77	226	57786
78	229	57849
79	231	57686
80	234	57620
81	236	57461
82	238	57337
83	241	57207
84	242	56788
85	243	56378
86	245	56226
87	248	56128
88	250	55985
89	251	55605
90	253	55491
91	256	55451
92	259	55526
93	261	55341
94	263	55213
95	265	55099
96	267	54800
97	269	54700
98	271	54671
99	275	54798
100	277	54624
101	279	54490
102	280	54201
103	283	54252
104	285	54150
105	288	54073
106	290	53931
107	292	53826
108	294	53703
109	295	53410
110	297	53365
111	300	53277
112	301	53061
113	303	52985
114	305	52888
115	307	52679
116	309	52570
117	311	52507
118	314	52476
119	317	52543
120	319	52509
121	320	52248
122	322	52163
123	324	52058
124	327	52011
125	329	51961
126	331	51871
127	334	51900
128	336	51832
129	338	51801
130	341	51862
131	344	51842
132	346	51779
133	348	51695
134	351	51779
135	353	51606
136	355	51535
137	357	51451
138	360	51545
139	363	51518
140	365	51532
141	368	51513
142	371	51558
143	374	51572
144	376	51552
145	378	51493
146	380	51440
147	383	51434
148	385	51354
149	388	51346
150	389	51224
151	391	51176
152	394	51109
153	395	50918
154	397	50864
155	399	50795
156	401	50753
157	403	50694
158	405	50611
159	407	50542
160	409	50423
161	412	50470
162	413	50319
163	415	50234
164	417	50183
165	419	50111
166	421	50085
167	423	50024
168	425	49947
169	427	49917
170	430	49889
171	432	49876
172	435	49874
173	437	49819
174	439	49781
175	441	49746
176	443	49644
177	444	49487
178	445	49329
179	446	49195
180	449	49175
181	451	49197
182	453	49073
183	455	49029
184	457	49007
185	459	48929
186	461	48884
187	463	48795
188	465	48822
189	468	48869
190	471	48882
191	474	48969
192	478	49058
193	480	49071
194	483	49117
195	485	49078
196	488	49094
197	490	49098
198	493	49111
199	496	49134
200	498	49101
201	500	49019
202	501	48895
203	503	48887
204	505	48784
205	508	48852
206	510	48832
207	511	48709
208	514	48692
209	516	48672
210	518	48636
211	521	48653
212	523	48641
213	526	48635
214	528	48590
215	529	48479
216	531	48438
217	533	48380
218	535	48347
219	537	48333
220	539	48318
221	541	48274
222	543	48184
223	545	48166
224	547	48129
225	549	48092
226	550	47986
227	553	47972
228	556	48011
229	557	47957
230	559	47881
231	561	47874
232	564	47855
233	565	47741
234	566	47683
235	569	47659
236	570	47613
237	572	47526
238	574	47500
239	576	47479
240	578	47400
241	580	47409
242	582	47391
243	585	47377
244	586	47323
245	588	47290
246	590	47186
247	592	47167
248	594	47147
249	597	47172
250	599	47165
251	601	47104
252	603	47083
253	604	47023
254	606	46986
255	608	46947
256	610	46862
257	613	46911
258	615	46891
259	618	46928
260	620	46908
261	621	46836
262	624	46839
263	626	46815
264	628	46833
265	631	46859
